Whale ID,Start Time (UTC),State,Sonar before EOE?,MFAS RL,MFAS cSEL,Echosounder Present?,Impulsive Sounds Present?,Orca Sounds Present?,Duration (hours),Foraging Dive Duration (hours),N Non-foraging Dives,Longest Non-foraging Dive (hours),Surface Time (hours),Echolocation Clicking Duration (minutes),Maximum Dive Depth (km),Distance Traveled (km)
Zica-20211112-94819,2021-11-13T23:35:46Z,Typical,No,None,0,No,No,No,3,1.2,5,0.3,0.2,41.4,1.7,0.4
Zica-20211112-94819,2021-11-14T02:36:12Z,Typical,No,None,0,No,No,No,2.7,1.1,4,0.4,0.2,41,1.7,1.2
Zica-20211112-94819,2021-11-14T05:19:12Z,Typical,No,None,0,No,No,No,3.4,1.1,6,0.4,0.3,39.5,1.7,1.2
Zica-20211112-94819,2021-11-14T08:44:06Z,Typical,No,None,0,No,No,No,4.7,1.2,8,0.6,0.4,37.1,1.7,1.2
Zica-20211112-94819,2021-11-14T13:26:53Z,Typical,No,None,0,No,No,No,3,1,4,0.5,0.2,26.6,1.1,1.7
Zica-20211112-94819,2021-11-14T16:25:03Z,Typical,No,None,0,No,No,No,3,1.1,4,0.5,0.2,39.3,1.7,1.1
Zica-20211112-94819,2021-11-14T19:24:33Z,Typical,No,None,0,No,No,No,3,1.2,4,0.5,0.2,44.3,1.7,1.4
Zica-20211112-94819,2021-11-14T22:21:35Z,Typical,No,None,0,No,No,No,3.2,1.1,5,0.4,0.2,40,1.7,1
Zica-20211112-94819,2021-11-15T01:34:14Z,Typical,No,None,0,No,No,No,2.8,1,5,0.4,0.2,40.2,1.7,1.5
Zica-20211112-94819,2021-11-15T04:24:21Z,Typical,No,None,0,No,No,No,2.7,1,4,0.4,0.2,39.1,1.7,1
Zica-20211112-94819,2021-11-15T07:05:27Z,Typical,Yes,89.2,87.7,No,No,No,2.8,1,5,0.3,0.3,38.5,1.7,1.9
Zica-20211112-94819,2021-11-15T09:53:35Z,Typical,No,81.8,80.9,No,No,No,2.9,1.1,5,0.4,0.3,42.9,1.7,1.2
Zica-20211112-94819,2021-11-15T12:47:35Z,Typical,No,None,0,No,No,No,4.4,1.2,7,0.5,0.3,41.2,1.7,1
Zica-20211112-94819,2021-11-15T17:09:42Z,Variant,No,None,0,No,No,No,3,1.3,4,0.5,0.2,9.4,1.7,2.2
Zica-20211112-94819,2021-11-15T20:06:51Z,Typical,No,None,0,No,No,No,4.3,1.3,8,0.4,0.3,38.9,0.7,2.2
Zica-20211112-94819,2021-11-16T00:24:40Z,Typical,No,None,0,No,No,No,3.2,1,7,0.3,0.3,31.4,1.7,0.9
Zica-20211112-94819,2021-11-16T03:37:25Z,Typical,No,None,0,No,No,No,3.2,1.1,5,0.4,0.2,28.4,1.7,1
Zica-20211112-94819,2021-11-16T06:48:34Z,Variant,No,None,0,No,No,No,2.7,1,6,0.3,0.2,32.4,1.7,2.4
Zica-20211112-94819,2021-11-16T09:28:12Z,Variant,No,None,0,No,No,No,0.8,0.7,0,NA,0.1,30.9,1.8,3.3
Zica-20211112-94819,2021-11-16T10:16:46Z,Variant,No,None,0,No,No,No,2.7,0.6,6,0.5,0.4,2.4,1.1,1.9
Zica-20211112-94819,2021-11-16T13:00:48Z,Typical,No,None,0,No,No,No,4.3,1,8,0.5,0.3,30.6,1.8,1.3
Zica-20211112-94819,2021-11-16T17:16:23Z,Typical,No,None,0,No,No,No,4.7,1,9,0.5,0.4,31.1,1.8,1.4
Zica-20211112-94819,2021-11-16T21:55:32Z,Typical,Yes,122.6,118.1,No,No,No,2.6,1,4,0.4,0.2,26.1,1.1,2.4
Zica-20211112-94819,2021-11-17T00:34:28Z,Typical,Yes,124.9,123.9,No,No,No,2.7,1,5,0.4,0.3,32.5,1.6,1.6
Zica-20211112-94819,2021-11-17T03:19:22Z,Typical,No,None,0,No,No,No,2.7,0.9,5,0.5,0.2,27.5,1.1,0.7
Zica-20211112-94819,2021-11-17T06:03:24Z,Variant,Yes,140.3,136.1,No,No,No,1.9,0.9,3,0.3,0.6,28.9,1.2,3.9
Zica-20211112-94819,2021-11-17T07:59:25Z,Variant,No,None,0,No,No,No,2.3,1,3,0.4,0.3,5.7,1.6,3.5
Zica-20211112-94819,2021-11-17T10:15:54Z,Variant,No,None,0,No,No,No,2.6,1,5,0.4,0.3,26.4,0.8,1.3
Zica-20211112-94819,2021-11-17T12:53:57Z,Variant,No,None,0,No,No,No,3.8,1,8,0.5,0.3,27.8,1.1,1.6
Zica-20211112-94819,2021-11-17T16:41:19Z,Variant,No,None,0,No,No,No,3.8,1,6,0.5,0.4,34.8,1.6,1.8
Zica-20211112-94819,2021-11-17T20:32:17Z,Typical,No,None,0,No,No,No,3.8,1.3,5,0.6,0.3,39.3,1.6,1.7
Zica-20211112-94819,2021-11-18T00:22:29Z,Typical,No,None,0,No,No,No,3.7,1.4,5,0.5,0.3,40.3,1.6,0.4
Zica-20211112-94819,2021-11-18T04:03:51Z,Typical,No,None,0,No,No,No,3.4,1.6,4,0.5,0.2,42.4,1.7,1.1
Zica-20211112-94819,2021-11-18T07:27:39Z,Typical,No,None,0,No,No,No,3.2,1.3,4,0.5,0.2,37.9,1.8,1.3
